	orderid	latitude	longitude	estimateddeliverytime	totalprice	zip	city	time
1866	1555282	36.9659318	-122.02562320000001	227.0	54.69		Santa Cruz	0.9663091666666667
1867	1555437	37.737574	-122.415732	207.0	77.41	94134	San Francisco	1.0203166666666665
1868	1555384	37.5341328	-122.3037129	122.0	179.32	94403	San Mateo	1.222785277777778
1869	1555473	37.5323387	-122.3012334	198.0	35.03	94403	San Mateo	1.2415277777777778
1870	1555519	32.7829734	-117.1118148	176.0	58.11	92108	San Diego	1.2914686111111109
1871	1555865	37.7883302	-122.1892649	124.0	47.14	94602	Oakland	1.316225
1872	1555885	37.757912	-122.3930301	64.0	93.62	94124	San Francisco	1.803946388888889
1873	1555909	37.7869508	-122.3989584	170.0	39.05	94114	San Francisco	1.9175944444444444
1874	1555945	37.3892608	-121.9828773	110.0	180.75	94089-2701	Santa Clara	2.0562202777777774
1875	1556031	37.3828443	-122.0425034	110.0	48.77	94086	Sunnyvale	2.078148055555556
1876	1556054	37.4037591	-122.0579311	157.0	31.85	94086	Mountain View	2.1203555555555558
1877	1556033	34.014907	-118.4968453	130.0	122.76	90401	Santa Monica	1.9806991666666667
1878	1556154	37.6544089	-122.44350259999999	192.0	40.69		South San Francisco	2.15605
1879	1556091	32.9420652	-117.1121095	191.0	52.82	92129-2935	San Diego	2.327033333333333
1880	1556159	37.42514439999999	-122.1480682	143.0	57.41	94304-1050	Palo Alto	2.331700833333333
1881	1556195	32.6982939	-117.0866258	221.0	62.69	92113	San Diego	2.380920277777778
1882	1552613	37.72590200000001	-122.433543	195.0	45.26	94112	San Francisco	2.4445286111111115
1883	1552743	37.8220572	-122.28217930000001	103.0	48.72		Oakland	2.4291630555555552
1884	1552754	37.4586267	-122.2476239	182.0	30.7	94062	Redwood City	2.409236111111111
1885	1552791	37.723128	-122.45942659999999	56.0	86.97		San Francisco	2.485775
1886	1552858	37.7735958	-122.43297209999999	343.0	56.08		San Francisco	2.5219880555555556
1887	1552926	37.7865424	-122.4019862	278.0	140.17	94105	San Francisco	2.601496388888889
1888	1552902	37.5725568	-122.3225659	80.0	36.49	94401	San Mateo	2.5706352777777774
1889	1552851	32.7594063	-117.14918200000001	163.0	96.94		San Diego	2.755295277777778
1890	1552848	37.7773096	-122.4864784	39.0	67.3	94122	San Francisco	3.0733175000000004
1891	1552903	37.7632842	-122.4204598	327.0	82.93	94114	San Francisco	3.3524333333333334
1892	1553138	37.559959	-122.319376	394.0	56.44	944023025	San Mateo	3.4319666666666664
1893	1553205	37.8223015	-122.2646435	176.0	43.74	94612	Oakland	3.4981869444444444
1894	1553184	37.4099325	-122.1139722	160.0	96.12	94023	Palo Alto	3.718
1895	1553041	33.9428119	-118.145436	14.0	138.45	90241	Downey	3.780828611111111
1896	1553284	37.379534	-122.075049	92.0	31.3	94086	Mountain View	3.8294713888888885
1897	1553379	37.7076816	-122.46553600000001	247.0	109.14		Daly City	4.111706388888889
1898	1553564	37.7356339	-122.5017978	188.0	48.84	94116	San Francisco	4.135492500000001
1899	1553691	37.776106	-122.19575220000002	91.0	77.29		Oakland	4.5130925
1900	1553643	37.78314520000001	-122.424895	301.0	54.59		San Francisco	4.548926944444444
1901	1553594	36.9759127	-122.02634750000001	70.0	95.86		Santa Cruz	4.594625833333333
1902	1553611	37.3626506	-122.08015870000001	167.0	41.42		Los Altos	4.621253611111111
1903	1553534	37.3400506	-121.8944256	237.0	277.19	95110	San José	4.665183333333334
1904	1553828	34.0247141	-118.4627382	222.0	47.41	90404	Santa Monica	4.654599166666667
1905	1553889	37.7922842	-122.4237311	167.0	32.03	94114	San Francisco	4.719413055555556
1906	1553888	37.6947788	-122.4958576	211.0	34.73	94132	Daly City	4.916476944444445
1907	1553707	32.7887132	-117.2401014	221.0	44.25	92109	San Diego	4.964488055555556
1908	1553970	37.8828824	-122.26705190000001	185.0	103.25		Berkeley	5.799885277777777
1909	1553801	37.5113589	-122.2817639	55.0	47.75	94002-3585	Belmont	5.893199166666666
1910	1554083	37.7845404	-122.4815798	139.0	62.96	94121	San Francisco	6.277971388888889
1911	1554063	37.6606639	-122.06531729999999	61.0	135.97		Hayward	6.3188925
1912	1553629	37.8071386	-122.4130102	149.0	27.45	94133	San Francisco	6.333284166666666
1913	1554195	37.7601547	-122.4243138	10.0	84.55	94114	San Francisco	6.6230472222222225
1914	1554337	32.727883500000004	-117.1712031	116.0	42.68	92103	San Diego	6.677097222222223
1915	1554281	37.3486547	-121.99415790000002	112.0	70.15		Santa Clara	18.39465277777778
1916	1554392	37.7933266	-122.437046	278.0	47.05	94114	San Francisco	19.14302138888889
1917	1554331	37.7802096	-122.408383	337.0	39.03	94103	San Francisco	19.222149166666664
1918	1554357	37.3988771	-122.093121	100.0	44.31	94040	Mountain View	19.374766666666666
1919	1554380	37.741107	-122.453154	168.0	46.38	94114	San Francisco	19.373244444444445
1920	1554448	37.6338092	-122.4627952	209.0	71.71	94044	San Bruno	19.840235277777776
1921	1554346	37.8455414	-122.2819348	288.0	61.44	94612	Oakland	19.853050000000003
1922	1554498	37.4661565	-122.2325437	481.0	53.61	94061	Redwood City	20.058001944444445
1923	1554433	37.7762138	-122.4369793	243.0	98.74	94114	San Francisco	20.18302416666667
1924	1554507	36.9620517	-122.0503371	61.0	39.16	95060	Santa Cruz	20.203520277777777
1925	1554500	37.6825782	-122.101496	74.0	52.59	94541	Hayward	20.407245277777776
1926	1554639	37.780186	-122.46711699999999	334.0	44.97		San Francisco	20.599249999999998
1927	1554670	37.6294492	-122.4435346	304.0	59.14	94066	San Bruno	20.661326944444443
1928	1554597	37.3801226	-122.08648290000002	266.0	35.63	94086	Mountain View	20.961347222222223
1929	1554674	37.7543611	-122.1495165	73.0	53.77	94577	Oakland	21.193261944444444
1930	1554693	37.4886436	-122.2561669	173.0	53.53	94064	San Carlos	21.683374166666667
1931	1554861	37.4886769	-122.2426443	6.0	40.37	94063	Redwood City	21.750610277777778
1932	1554958	36.9757531	-122.01621499999999	303.0	46.24		Santa Cruz	21.791542500000002
1933	1554849	37.4332319	-122.2068468	403.0	193.71	94027	Menlo Park	21.804708333333334
1934	1554938	37.7466094	-122.4746419	166.0	35.8	94122	San Francisco	22.091366666666666
1935	1555001	37.8003888	-122.4364158	35.0	55.66	94114	San Francisco	22.260459166666667
1936	1555020	37.45094520000001	-122.1535545	1.0	44.39		Palo Alto	22.325474166666666
1937	1555047	37.5461044	-122.3090135	153.0	40.43	94402	San Mateo	22.442433333333334
1938	1555105	37.83144779999999	-122.27465020000001	217.0	49.5		Oakland	22.486649166666666
1939	1555119	37.474438	-122.216072	157.0	29.46	94061	Redwood City	22.947708333333335
1940	1555140	37.8223854	-122.25009140000002	5.0	72.27		Oakland	22.96902972222222
1941	1555141	33.9692225	-118.45266570000001	1.0	48.79		Marina del Rey	23.003325
1942	1555223	37.61362570000001	-122.4074812	187.0	53.71		San Bruno	23.176159166666668
1943	1555253	32.9277353	-117.0237996	67.0	80.81	92145	San Diego	23.292476944444445
1944	1555574	37.788666	-122.40770900000001	387.0	49.11		San Francisco	23.294363055555557
1945	1555559	37.369025	-121.866679	133.0	49.13	95133	San José	23.45511861111111
1946	1555536	37.32381450000001	-121.9806821	0.0	35.36	95117	Santa Clara	23.648674166666666
1947	1555651	37.734726	-122.392762	200.0	48.03	94124	San Francisco	23.54081027777778
1948	1555720	32.8633039	-117.23749690000001	7.0	65.35		San Diego	23.712850833333334
1949	1555717	37.7061834	-122.41070990000001	36.0	38.42		Daly City	6.803974166666666
1950	1555765	37.4079444	-122.12383190000001	256.0	38.38		Palo Alto	0.1421286111111111
1951	1555858	37.37164600000001	-122.1104942	57.0	48.38	94022	Los Altos	0.2524722222222222
1952	1555834	32.8346913	-117.177001	17.0	92.7	92117	San Diego	0.24060638888888888
1953	1555826	37.800516	-122.437575	36.0	229.85	94114	San Francisco	0.26575
1954	1555974	37.5333492	-122.3251307	2.0	114.12	94497	San Mateo	0.49283333333333335
1955	1556062	37.7866095	-122.4037244	192.0	33.07	94103	San Francisco	0.5502083333333334
1956	1556092	37.8270669	-122.2730153	113.0	85.87	94612	Oakland	0.5760944444444445
1957	1556121	37.746294	-122.240626	251.0	177.05	94601	Alameda	0.7153083333333333
1958	1556190	36.9720289	-122.0560354	191.0	94.93	95060	Santa Cruz	0.7059630555555555
1959	1556162	36.954009	-122.042622	46.0	55.66	95060	Santa Cruz	0.7720380555555556
1960	1552699	37.6571401	-122.4781731	201.0	47.26	94044	Pacifica	1.0465333333333335
1961	1552614	37.5532899	-122.286855	236.0	177.56	94404	San Mateo	1.08085
1962	1552676	36.966111	-121.8983415	181.0	36.06	95003	Aptos	1.0911491666666666
1963	1552905	32.763079	-117.14170290000001	111.0	44.86		San Diego	1.3584408333333333
1964	1552786	37.809361	-122.270531	119.0	40.88	94612	Oakland	1.7096658333333332
1965	1552826	37.7465199	-122.20554569999999	339.0	85.54		Oakland	1.725827777777778
1966	1552830	37.4236307	-122.1662708	196.0	31.16	94305-6015	Stanford	1.7882369444444444
1967	1552860	37.3343085	-121.96123200000001	61.0	39.7		Santa Clara	1.9088452777777778
1968	1552925	37.654322	-122.4143919	123.0	79.52	94080	South San Francisco	1.9988408333333334
1969	1553037	37.7176066	-122.4787162	206.0	40.97	94132	San Francisco	2.1587055555555557
1970	1553021	37.737664	-122.391875	223.0	96.87	94124	San Francisco	2.378906388888889
1971	1553127	37.82002	-122.27923500000001	58.0	96.03		Oakland	2.5071325
1972	1553132	37.473104	-122.20817	77.0	37.43	94061	Redwood City	2.6002658333333333
1973	1553198	37.7944089	-122.2187034	83.0	35.6	94602	Oakland	2.638424166666667
1974	1553047	37.4798739	-122.1513659	613.0	66.92	94025-1246	Menlo Park	2.8618222222222225
1975	1553206	37.4893301	-122.2290729	71.0	124.73	94063	Redwood City	2.871452777777778
1976	1553217	37.716943	-122.390332	247.0	31.6	94124	San Francisco	2.9897602777777776
1977	1553320	37.716326	-122.39678400000001	215.0	39.58		San Francisco	3.0981908333333337
1978	1553224	37.24515510000001	-121.88968329999999	97.0	33.4		San José	3.1508519444444443
1979	1553299	37.7884256	-122.39371409999998	337.0	65.2		San Francisco	3.213116666666667
1980	1553242	37.3332631	-121.9114565	90.0	74.15	95110-2007	San José	3.2237647222222225
1981	1553466	37.8678836	-122.25279409999999	128.0	50.92		Berkeley	2.7607472222222222
1982	1553366	37.6424234	-122.44184820000001	273.0	52.48		South San Francisco	3.3464666666666667
1983	1553353	37.7776622	-122.4184591	65.0	41.65	94102	San Francisco	3.449335277777778
1984	1553458	37.7757368	-122.4255658	290.0	235.58	94114	San Francisco	3.5140313888888888
1985	1553485	32.7709957	-117.06330459999998	199.0	48.48		San Diego	3.5802452777777773
1986	1553672	37.7561066	-122.425193	242.0	42.43	94114	San Francisco	3.602960277777778
1987	1553796	32.7247659	-117.1680923	219.0	75.04	92103	San Diego	3.5916186111111115
1988	1553734	37.446883	-122.180985	265.0	54.15	94025	Menlo Park	4.049611944444444
1989	1553880	32.7464281	-117.1246611	203.0	94.25	92102	San Diego	4.236683333333334
1990	1553858	34.003698	-118.40653	57.0	34.68	90232	Culver City	4.491785277777778
1991	1553742	37.3422475	-122.01625420000002	8.0	44.41	95014-0500	Sunnyvale	4.519877777777777
1992	1553840	37.6225524	-122.09710190000001	131.0	38.33		Hayward	4.631355555555556
1993	1554036	37.802081	-122.415982	65.0	95.56	94133	San Francisco	4.5613166666666665
1994	1553786	37.7420091	-122.48818770000001	59.0	42.36		San Francisco	4.751013055555555
1995	1553954	37.5226586	-122.25166609999998	180.0	69.14	94065	Redwood City	4.906649166666667
1996	1554042	37.7840961	-122.4755852	176.0	69.62	94122	San Francisco	4.913563055555556
1997	1554269	37.7999881	-122.4114338	227.0	91.69	94133	San Francisco	4.9925575
1998	1554256	37.3618938	-122.01791029999998	16.0	34.61		Sunnyvale	5.295836944444444
1999	1554207	37.5386695	-122.2955777	151.0	37.99	94403	San Mateo	5.421578611111111
2000	1554408	37.5084326	-122.25704750000001	202.0	34.94		San Carlos	5.443408333333333
2001	1554307	37.480303	-122.232789	169.0	56.55	94063	Redwood City	5.480481388888889
2002	1554372	37.6229985	-122.04173689999999	32.0	30.32		Hayward	5.668930555555556
2003	1554222	37.66770770000001	-122.09065120000001	1011.0	36.18		Hayward	5.660313055555556
2004	1554418	37.376344	-122.095358	106.0	45.65	94086	Mountain View	5.82335
2005	1554464	33.856282	-118.393759	185.0	125.26	90254	Hermosa Beach	5.999036944444445
2006	1554561	37.3747684	-122.0646575	33.0	55.35	94040	Mountain View	6.116283333333333
2007	1554665	37.846216	-122.257158	137.0	45.76	94609	Oakland	6.3594675
2008	1554621	37.4402997	-122.13433400000001	1.0	104.64		Palo Alto	7.075052777777778
2009	1554419	37.4312658	-122.15078670000001	205.0	46.99		Palo Alto	7.214299166666667
2010	1554626	37.6164928	-122.03052759999999	30.0	34.56		Hayward	3.041247222222222
2011	1554801	37.825786	-122.269671	65.0	63.04	94612	Oakland	17.845763055555555
2012	1554708	37.7288349	-122.45011799999999	115.0	73.25		San Francisco	18.107339722222225
2013	1554683	37.5127643	-122.3209636	94.0	46.41	94497	Belmont	18.14118611111111
2014	1554696	37.787594	-122.41616299999998	317.0	49.74		San Francisco	18.28092138888889
2015	1554876	37.804813	-122.437524	174.0	43.28	94114	San Francisco	18.62169638888889
2016	1554845	37.3123505	-121.9883332	22.0	91.83	95014-6401	San José	18.712819444444445
2017	1554747	36.9715805	-121.9846463	80.0	45.48	95065	Santa Cruz	18.821738888888888
2018	1554868	37.777845	-122.411313	107.0	158.76	94114	San Francisco	18.967452777777776
2019	1554761	37.4008336	-122.115187	114.0	204.31	94023	Los Altos	19.303540833333333
2020	1554968	37.77829000000001	-122.4246223	37.0	131.5	94102	San Francisco	19.913755555555554
2021	1554929	37.4019952	-121.8701368	162.0	217.79	95132	San José	19.94594638888889
